transcription_factor	tissue	motif.pval	open.pval	motif.median_diff	open.median_diff
E2F4	Blood	7.35e-29	5.34e-09	7.822	6.196
E2F4	BoneMarrow	1.82e-42	1.11e-10	7.838	4.521
E2F4	Breast	2.71e-60	1.1e-07	5.777	2.266
E2F4	Cervix	3.14e-33	0.127	7.581	2.25
E2F6	BoneMarrow	1.85e-126	1.58e-08	5.353	1.754
E2F6	Cervix	4.05e-41	0.00196	7.485	3.188
E2F6	Embryo	3.52e-124	1.72e-21	3.451	2.031
E2F6	Lung	6.29e-67	1.77e-07	6.396	2.738
E2F7	Colon	1.01e-07	0.116	6.036	3.359
E2F7	Lung	1.37e-07	0.14	6.185	2.094
EBF1	Adipose	2.23e-28	0.443	6.144	1.81
EBF1	Blood	1.62e-271	8.8e-85	5.386	4.893
EGR1	Blood	3.2e-137	8.46e-44	5.983	4.89
EGR1	BoneMarrow	9.50999999999999e-234	1.42e-09	4.243	1.241
EGR1	Breast	1.89e-77	1.56e-09	6.411	3.7
EGR1	Colon	4.17e-123	8.32e-36	6.488	5.822
EGR1	Embryo	6.25e-78	6.09e-15	5.802	3.684
ELF1	Blood	1.31e-99	2.91e-29	6.568	4.773
ELF1	BoneMarrow	2.72e-160	2.45e-07	4.725	1.65
ELF1	Brain	7.18e-113	1.2e-19	5.623	4.445
ELF1	Breast	1.07e-86	1.71e-10	6.797	4.365
ELF1	Colon	2.61e-82	4.5e-18	7.262	5.237
ELF1	Liver	2.16e-96	0.064	6.695	0.493
ELF1	Lung	4.51e-60	5.83e-09	7.528	5.218
ELK1	Blood	5.69e-63	1.17e-28	7.658	7.148
ELK1	BoneMarrow	4.03e-74	6.29e-09	8.036	4.131
ELK1	Breast	1.81e-51	2.31e-11	8.038	6.321
ELK1	Cervix	6.3e-57	0.00328	8.125	5.195
ELK4	Cervix	1.21e-52	0.00106	7.743	3.674
EOMES	Embryo	1.61e-229	1.3e-12	4.462	2.502
EPAS1	Kidney	9.6e-07	1	3.866	-0.027
ERG	Blood	5.88e-150	3.5e-44	9.288	7.841
ERG	BoneMarrow	4.18e-294	6.18e-21	7.939	5.005
ERG	Breast	2.82e-81	5.52e-10	13.214	13.183
ERG	Prostate	1.35e-282	1.03e-31	6.193	4.782
ESR1	Bone	3.58e-79	0.000434	1.599	0.947
ESR1	Breast	1.38e-74	3.51e-05	0.831	0.532
ESR1	MammaryGland	1.06e-72	4.63e-05	1.128	0.904
ESR1	Prostate	5.11e-11	0.0233	2.458	2.003
ESR1	Uterus	2.74e-20	0.25	5.769	10.102
ESRRA	Blood	2.53e-45	5.07e-13	8.119	7.173
ESRRA	Breast	1.44e-240	4.56e-20	6.197	5.217
ESRRA	Liver	1.81e-41	0.0531	8.492	3.609
ETS1	Blood	4.68e-276	4.25e-73	6.45	4.582
