transcription_factor	tissue	motif.pval	open.pval	motif.median_diff	open.median_diff
RXRA	Colon	2.07e-41	4.98e-09	6.144	5.883
RXRA	Embryo	1.74e-13	0.0013	5.989	3.134
RXRA	Liver	1.6e-150	1.28e-10	8.054	5.691
SIX1	Kidney	2.25e-18	0.000714	4.749	3.759
SIX2	Kidney	4e-238	1.87e-18	4.103	3.086
SMAD2	Embryo	2.42e-40	0.000651	2.175	1.384
SMAD3	Embryo	7.22e-173	2.87e-23	6.65	4.797
SMAD3	Lung	2.94e-275	5.83e-38	7.561	5.421
SMAD4	Embryo	9.55e-44	0.000376	3.81	1.866
SMAD4	Liver	1.9e-86	3.97e-05	9.31	6.247
SMAD4	Lung	4.17e-36	5.55e-07	6.291	5.621
SOX2	Colon	6.9e-12	0.0955	9.089	5.377
SOX2	Embryo	1.48e-17	0.00014	7.007	5.545
SOX2	Skin	3.63e-112	8.71e-15	3.767	3.641
SOX2	Thyroid	2.57e-22	0.103	8.758	8.56
SOX4	FetalLung	7.87e-106	0.000132	7.382	7.334
SOX9	Colon	2.66e-27	0.000122	7.217	5.983
SP1	Blood	3.02e-77	1.3e-42	5.227	3.712
SP1	BoneMarrow	1.2e-41	1.23e-14	5.04	2.468
SP1	Colon	1.85e-113	1.11e-32	2.723	0.857
SP1	Embryo	1.34e-72	1.68e-40	4.789	3.031
SP1	EmbryonicKidney	1.93e-61	0.00889	3.381	2.767
SP1	Liver	6.68e-57	3.81e-16	4.927	2.322
SP1	Lung	3.22e-73	1.08e-19	5.417	2.558
SP2	BoneMarrow	8.75e-54	1.72e-09	8.876	8.273
SP2	Colon	1.03e-16	8.38e-08	8.88	8.658
SP2	Embryo	8.79e-34	3.59e-14	8.987	8.333
SP2	EmbryonicKidney	3.59e-301	0.0177	8.346	2.824
SPDEF	Lung	1.18e-21	0.000179	5.059	4.449
SPI1	Blood	8.51e-260	1.04e-60	3.974	3.209
SPI1	BoneMarrow	1.84e-204	4.46e-14	3.409	2.223
SPI1	Cordblood	1.21e-74	7.07e-14	5.394	3.41
SPI1	Kidney	1.98e-46	0.000886	4.063	2.941
SPIB	BoneMarrow	3.67e-137	3.3e-06	2.843	1.631
SREBF1	Breast	1.62e-07	0.1	4.201	6.707
SRF	Blood	6.54e-29	1.03e-05	5.615	4.137
SRF	BoneMarrow	8.85e-21	0.0742	7.507	2.742
SRF	Breast	2.43e-26	0.104	6.48	3.83
SRF	Colon	7.86e-30	0.00135	7.802	7.1
SRF	Embryo	3.15e-40	0.00809	6.229	3.616
SRF	Liver	1.39e-25	0.585	6.114	1.93
SRF	Muscle	4.33e-31	0.0212	7.285	6.529
STAT1	Blood	4.78e-48	5.02e-07	6.355	4.452
STAT1	BoneMarrow	1.26e-23	0.0512	8.141	3.825
STAT1	Cervix	2.54e-65	0.00926	4.808	3.354
STAT3	Blood	1.11e-39	5.16e-08	7.343	5.985
STAT3	BoneMarrow	1.1e-51	9.28e-05	6.821	4.475
STAT3	Breast	1.39e-274	1.76e-16	6.108	3.227
STAT3	Cervix	2e-65	0.0353	9.695	6.104
STAT3	Lung	6.14e-62	3.84e-10	7.856	5.487
STAT3	LymphNode	6.52e-45	0.588	8.009	-0.479
STAT4	Blood	9.04e-54	2.09e-10	1.906	1.175
STAT5A	Blood	7.15e-21	0.134	8.004	5.332
STAT5A	BoneMarrow	1.88e-27	0.135	10.765	5.659
TAL1	Blood	6.43e-281	7.22e-89	7.752	6.892
TAL1	BoneMarrow	9.65e-308	5.34e-23	8.743	5.906
TAL1	Colon	3.02e-10	0.00567	2.82	2.628
TAL1	Cordblood	1.77e-296	2.17e-26	7.67	6.454
TBP	Blood	2.49e-43	2.69e-10	9.096	8.062
TBP	BoneMarrow	3.87e-45	0.668	9.215	1.247
TBP	Cervix	6.65e-47	0.331	9.395	-1.719
TBP	Embryo	8.74e-34	0.00129	9.04	5.318
TBP	Liver	4.67e-27	0.214	9.848	2.588
TBX21	Blood	1.42e-189	6.69e-35	7.297	6.241
TCF12	Blood	7.68e-289	1.06e-69	7.319	5.384
TCF12	Brain	9.9e-299	7.35e-53	7.727	5.199
TCF12	Breast	2.07e-89	7.16e-11	9.63	7.82
TCF12	Embryo	1.85e-294	9.56e-54	7.314	5.221
TCF12	Liver	1.3e-111	0.000977	9.281	4.936
TCF12	Lung	3.31e-239	4.16e-35	9.193	7.065
TCF21	Coronaryarterysmoothmuscle	1.34e-161	1.51e-08	5.734	2.34
TCF4	Colon	2.15e-17	0.000525	4.982	5.32
TCF4	Embryo	6.97e-05	0.16	8.221	7.549
TCF7L1	Blood	5.61e-22	1.17e-06	6.269	5.512
TCF7L1	Colon	1.08e-19	0.000219	7.324	6.335
TCF7L2	Blood	9.98e-08	0.0523	5.949	5.316
TCF7L2	Breast	6.03e-13	0.00843	6.581	4.758
TCF7L2	Cervix	1.28e-11	0.348	3.519	-1.478
TCF7L2	Colon	4.46e-15	0.00278	3.992	2.058
TCF7L2	Pancreas	1.15e-13	0.0147	4.245	4.298
TCF7L2	Prostate	4.32e-23	0.00866	3.892	4.822
TCF7	Liver	5.39e-38	0.135	6.751	5.016
TEAD1	Muscle	2.66e-224	6.49e-10	5.985	3.673
TEAD2	BoneMarrow	2.46e-16	0.0043	7.295	7.627
TEAD4	BoneMarrow	6.39e-141	0.00636	5.413	3.249
TEAD4	Brain	2.02e-96	1.32e-20	8.3	6.84
TEAD4	Breast	1.01e-100	1.29e-12	7.498	4.772
TEAD4	Colon	1.17e-72	7.74e-10	9.022	7.875
TEAD4	Embryo	1.74e-266	1.05e-32	5.142	2.898
TEAD4	Liver	4.26e-102	0.0883	7.932	7.778
TEAD4	Lung	2.89e-59	2.26e-10	7.992	7.311
TFAP2A	Breast	1.56e-193	2.28e-18	4.601	2.324
TFAP2A	Cervix	1.48e-142	0.0332	5.609	0.975
TFAP2A	Cranial	1.22e-225	0.857	3.948	-0.593
TFAP2C	Breast	1.84e-241	1.37e-24	4.473	2.068
TFAP2C	Cervix	2.1e-213	1.04e-05	5.886	1.634
TFAP2C	MammaryGland	1.11e-244	7.84e-24	4.696	2.792
TFAP2C	Skin	1.73e-234	1.97e-43	4.779	3.266
TFAP4	Liver	1.93e-230	0.000115	6.941	2.544
TGIF2	Liver	3.01e-178	0.00481	10.961	4.347
THAP11	Embryo	9.17e-17	0.000345	7.202	5.793
TP53	Blood	3.84e-35	5.3e-07	3.297	3.584
TP53	Bone	1.92e-42	1.59e-05	3.119	4.002
TP53	Breast	7.34e-10	0.00724	12.344	9.994
TP53	Colon	2.86e-16	0.000266	5.752	5.472
TP53	Embryo	3.1e-26	0.98	4.224	0.607
TP53	FetalSkin	1.29e-30	0.143	3.578	5.137
TP53	Foreskin	3.18e-43	4.35e-07	3.808	2.457
TP53	Lung	1.96e-27	1.55e-05	4.358	3.396
TP53	Skin	1.55e-14	6.62e-05	6.472	4.565
TP63	Breast	3.39e-98	1.56e-08	5.763	3.372
TP63	Foreskin	4.28e-156	1.47e-22	4.987	3.278
TP63	Lung	2.3e-36	3.63e-05	5.488	3.256
TP63	Prostate	5.55e-46	0.00135	6.32	2.902
TP63	Skin	1.11e-178	7.7e-21	4.725	3.207
TP63	Thyroid	3.23e-34	0.00307	5.797	4.64
TP73	Bone	3.64e-30	5.53e-05	1.525	1.358
USF1	Blood	8.62e-83	1.07e-26	6.603	5.545
USF1	BoneMarrow	2.69e-167	1.41e-06	5.34	2.164
USF1	Brain	3.23e-147	2.25e-19	5.3	4.16
USF1	Colon	2.74e-103	1.45e-25	7.313	7.218
USF1	Embryo	2.45e-197	7.98e-22	4.694	3.569
USF1	Liver	3.6e-176	0.0338	5.284	0.963
USF1	Lung	2.73e-105	6.47e-16	6.496	4.614
USF2	Blood	1.57e-44	2.61e-12	6.204	5.659
USF2	BoneMarrow	2.34e-66	7.79e-05	5.099	2.774
USF2	Cervix	7.11e-54	0.432	5.053	1.575
USF2	Embryo	1.96e-47	6.34e-07	5.861	3.858
USF2	Liver	4.91e-93	0.0591	4.968	2.102
VDR	Blood	1.28e-25	7.71e-05	1.777	1.562
VDR	Colon	1.36e-14	0.0265	2.374	3.842
VDR	Prostate	2.67e-12	0.214	2.087	1.887
YY1	Blood	8.18e-28	1.48e-05	3.2	2.849
YY1	BoneMarrow	1.41e-34	0.247	3.25	1.466
YY1	Brain	4.58e-23	0.0535	5.006	3.979
YY1	Colon	2.72e-16	0.202	6.414	6.475
YY1	Embryo	3.33e-40	0.0113	2.509	0.975
YY1	Liver	7.78e-25	0.157	5.893	2.265
YY1	Lung	5.93e-21	0.0509	5.255	4.385
ZBTB33	Blood	3.65e-07	0.00619	4.163	3.836
ZBTB33	BoneMarrow	5.97e-11	0.0546	2.963	1.237
ZBTB33	Brain	1.69e-06	0.0274	5.352	3.54
ZBTB33	Colon	2.79e-06	0.719	5.987	2.752
ZBTB33	Liver	1.14e-06	0.0446	4.6	1.613
ZBTB33	Lung	5.59e-07	0.509	5.205	-0.642
ZBTB7A	BoneMarrow	6.75e-298	9.81e-11	7.133	2.413
ZBTB7A	Endometrium	1.13e-262	0.485	6.969	2.114
ZBTB7A	Liver	2.84e-165	8.78e-07	7.439	2.045
ZEB1	Blood	1.21e-169	3.12e-30	8.283	6.723
ZEB1	Liver	1.76e-225	0.0559	9.428	1.111
ZEB1	Lung	1.63e-53	6.46e-05	8.587	5.2
ZEB1	MammaryGland	3.68e-220	7.29e-23	7.896	6.442
ZEB2	BoneMarrow	4.86e-181	4.58e-07	8.227	3.351
ZFX	BoneMarrow	1.77e-115	4.84e-09	8.064	6.254
ZFX	Breast	3.82e-277	3.01e-26	6.366	5.728
ZFX	Cerebellum	2.41e-34	0.000502	7.275	6.824
ZFX	Colon	4.42e-279	7.24e-42	5.903	4.045
ZFX	Kidney	2.56e-254	2.48e-34	5.756	6.616
ZFX	Prostate	4.29e-264	1.24e-24	5.314	4.337
ZKSCAN1	BoneMarrow	9.8e-28	0.00895	1.445	1.622
ZNF143	Blood	9.05e-48	3.67e-10	4.536	4.281
ZNF143	BoneMarrow	1.1e-30	0.0103	7.513	5.31
ZNF143	Cervix	4.1e-20	0.0525	10.517	5.522
ZNF143	Colon	1.27e-18	1.69e-06	7.334	6.796
ZNF143	Embryo	1.2e-39	4.81e-07	6.253	4.301
ZNF263	BoneMarrow	1.63e-112	1.63e-07	5.597	3.294
ZNF467	EmbryonicKidney	7.03e-125	0.655	4.22	1.762
ZNF711	Breast	1.07e-84	3.25e-17	10.011	9.456
