tf	tissue	model	path
MYC	BoneMarrow	MYC_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/MYC_BoneMarrow/MYC_BoneMarrow_2025-04-24.logistic.rds
MYC	Breast	MYC_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/MYC_Breast/MYC_Breast_2025-04-24.logistic.rds
MYC	Colon	MYC_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/MYC_Colon/MYC_Colon_2025-04-24.logistic.rds
NANOG	Embryo	NANOG_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/NANOG_Embryo/NANOG_Embryo_2025-04-24.logistic.rds
NEUROG2	FetalLung	NEUROG2_FetalLung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/NEUROG2_FetalLung/NEUROG2_FetalLung_2025-04-24.logistic.rds
NR3C1	Breast	NR3C1_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/NR3C1_Breast/NR3C1_Breast_2025-04-24.logistic.rds
NR3C1	Lung	NR3C1_Lung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/NR3C1_Lung/NR3C1_Lung_2025-04-24.logistic.rds
POU5F1	Embryo	POU5F1_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/POU5F1_Embryo/POU5F1_Embryo_2025-04-24.logistic.rds
PPARG	Adipose	PPARG_Adipose	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/PPARG_Adipose/PPARG_Adipose_2025-04-24.logistic.rds
RELA	Blood	RELA_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/RELA_Blood/RELA_Blood_2025-04-24.logistic.rds
REST	Blood	REST_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/REST_Blood/REST_Blood_2025-04-24.logistic.rds
RUNX1	Blood	RUNX1_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/RUNX1_Blood/RUNX1_Blood_2025-04-24.logistic.rds
SP1	Colon	SP1_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/SP1_Colon/SP1_Colon_2025-04-24.logistic.rds
SPI1	Blood	SPI1_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/SPI1_Blood/SPI1_Blood_2025-04-24.logistic.rds
TAL1	BoneMarrow	TAL1_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/TAL1_BoneMarrow/TAL1_BoneMarrow_2025-04-24.logistic.rds
VDR	Blood	VDR_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/VDR_Blood/VDR_Blood_2025-04-24.logistic.rds
YY1	Blood	YY1_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2025-04-24/models/YY1_Blood/YY1_Blood_2025-04-24.logistic.rds
AR	Breast	AR_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/AR_Breast/AR_Breast_2024-07-26.logistic.rds
AR	EmbryonicKidney	AR_EmbryonicKidney	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/AR_EmbryonicKidney/AR_EmbryonicKidney_2024-07-26.logistic.rds
AR	MammaryGland	AR_MammaryGland	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/AR_MammaryGland/AR_MammaryGland_2024-07-26.logistic.rds
ARNT	BoneMarrow	ARNT_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ARNT_BoneMarrow/ARNT_BoneMarrow_2024-07-26.logistic.rds
ARNT	Breast	ARNT_Breast	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ARNT_Breast/ARNT_Breast_2024-07-26.logistic.rds
ARNT	Kidney	ARNT_Kidney	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ARNT_Kidney/ARNT_Kidney_2024-07-26.logistic.rds
ASCL1	Lung	ASCL1_Lung	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ASCL1_Lung/ASCL1_Lung_2024-07-26.logistic.rds
ASCL1	Skin	ASCL1_Skin	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ASCL1_Skin/ASCL1_Skin_2024-07-26.logistic.rds
ATF1	BoneMarrow	ATF1_BoneMarrow	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF1_BoneMarrow/ATF1_BoneMarrow_2024-07-26.logistic.rds
ATF1	Liver	ATF1_Liver	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF1_Liver/ATF1_Liver_2024-07-26.logistic.rds
ATF2	Blood	ATF2_Blood	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF2_Blood/ATF2_Blood_2024-07-26.logistic.rds
ATF2	Colon	ATF2_Colon	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF2_Colon/ATF2_Colon_2024-07-26.logistic.rds
ATF2	Embryo	ATF2_Embryo	/beagle3/haky/users/temi/projects/TFPred-snakemake/data/ENPACT_734_2024-07-26/models/ATF2_Embryo/ATF2_Embryo_2024-07-26.logistic.rds
